City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
78,Albany,US,42.6001,-73.9662,54.3,98,11,2.66,few clouds
79,Duluth,US,46.7833,-92.1066,47.05,77,100,19.57,overcast clouds
80,New Norfolk,AU,-42.7826,147.0587,56.7,77,100,1.99,overcast clouds
81,Hermanus,ZA,-34.4187,19.2345,68.81,64,99,19.73,overcast clouds
82,Boffa,GN,10.1667,-14.0333,89.51,68,35,3.94,light rain
83,Dunedin,NZ,-45.8742,170.5036,41.32,81,92,17.07,overcast clouds
84,Sao Filipe,CV,14.8961,-24.4956,80.62,80,13,12.48,few clouds
85,Cabedelo,BR,-6.9811,-34.8339,84.87,72,25,11.25,scattered clouds
86,Torbay,CA,47.6666,-52.7314,54.39,89,75,11.5,broken clouds
87,Ambon,ID,-3.6954,128.1814,78.94,89,20,8.05,few clouds
88,Maragogi,BR,-9.0122,-35.2225,82.26,66,35,9.28,scattered clouds
89,Clyde River,CA,70.4692,-68.5914,21.43,86,100,6.91,overcast clouds
90,Mwinilunga,ZM,-11.7358,24.4293,93.76,9,11,7.78,few clouds
91,Whitianga,NZ,-36.8333,175.7,40.6,68,0,5.77,clear sky
92,Ketchikan,US,55.3422,-131.6461,52.27,100,100,4.61,mist
93,Thinadhoo,MV,0.5333,72.9333,82.33,77,88,21.27,overcast clouds
94,Mount Isa,AU,-20.7333,139.5,82.17,51,100,0.0,light rain
95,Malanje,AO,-9.5402,16.341,84.25,40,96,6.04,overcast clouds
96,Te Anau,NZ,-45.4167,167.7167,30.92,93,23,1.68,few clouds
97,Tommot,RU,58.9564,126.2925,29.71,96,100,9.86,light snow
98,General Salgado,BR,-20.6483,-50.3606,87.37,42,48,13.09,scattered clouds
99,Jasrana,IN,27.25,78.6833,73.08,89,100,11.18,overcast clouds
100,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,8.05,few clouds
101,Espanola,US,35.9911,-106.0806,53.6,78,74,2.44,broken clouds
102,Angahuan,MX,19.55,-102.1833,45.19,96,100,3.49,overcast clouds
103,Costa Rica,BR,-23.4167,-54.65,76.82,81,100,13.0,moderate rain
104,Haines Junction,CA,60.7522,-137.5108,24.75,86,5,2.3,clear sky
105,Avarua,CK,-21.2078,-159.775,73.45,78,40,12.66,scattered clouds
106,Severo-Kurilsk,RU,50.6789,156.125,42.01,83,90,11.12,light rain
107,Argostolion,GR,38.1811,20.489,77.07,41,20,10.36,few clouds
108,Bredasdorp,ZA,-34.5322,20.0403,71.47,41,100,19.51,overcast clouds
109,Kupang,ID,-10.1667,123.5833,81.1,78,98,12.55,overcast clouds
110,Cape Town,ZA,-33.9258,18.4232,68.11,62,40,19.57,scattered clouds
111,Hasaki,JP,35.7333,140.8333,55.8,80,100,19.13,overcast clouds
112,Solnechnyy,RU,50.7214,136.6319,32.34,55,4,8.12,clear sky
113,Simpang,ID,-1.2667,104.0833,75.04,92,100,0.34,overcast clouds
114,Beira,MZ,-19.8436,34.8389,84.29,70,20,17.27,few clouds
115,Provideniya,RU,64.3833,-173.3,40.01,73,7,28.57,clear sky
116,Marsh Harbour,BS,26.5412,-77.0636,78.64,65,9,13.53,clear sky
117,Babol,IR,36.5513,52.679,78.87,73,0,0.0,clear sky
118,Kiama,AU,-34.6833,150.8667,62.01,94,24,3.0,light rain
119,Anadyr,RU,64.75,177.4833,36.1,69,0,20.13,clear sky
120,Vilhena,BR,-12.7406,-60.1458,78.93,66,95,3.83,overcast clouds
121,Aracati,BR,-4.5617,-37.7697,89.22,46,36,15.41,scattered clouds
122,Bakel,SN,14.905,-12.4568,96.13,40,6,4.5,clear sky
123,Rawson,AR,-43.3002,-65.1023,55.45,35,0,27.83,clear sky
124,Bacolod,PH,10.6667,122.95,79.86,84,97,7.47,overcast clouds
125,Kapaa,US,22.0752,-159.319,71.58,88,0,8.05,clear sky
126,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,79,100,11.14,overcast clouds
127,Tiksi,RU,71.6872,128.8694,21.4,88,100,22.68,overcast clouds
128,Saint George,US,37.1041,-113.5841,63.19,42,0,3.44,clear sky
129,Bowen,AU,-20.0167,148.2333,74.16,82,27,17.74,scattered clouds
130,Quedlinburg,DE,51.7833,11.15,64.29,42,5,10.63,clear sky
131,Colares,PT,38.7992,-9.4469,80.26,73,0,5.99,clear sky
132,Kavieng,PG,-2.5744,150.7967,82.51,77,100,14.81,light rain
133,Mandalgovi,MN,45.7625,106.2708,38.84,24,98,6.89,overcast clouds
134,Vardo,NO,70.3705,31.1107,46.38,93,75,33.38,light rain
135,Labuhan,ID,-6.8844,112.2051,81.34,78,100,4.92,overcast clouds
136,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,88,75,12.5,broken clouds
137,Cidreira,BR,-30.1811,-50.2056,62.83,96,100,18.19,light rain
138,Zilair,RU,52.2332,57.4392,49.75,41,100,10.36,light rain
139,Nileshwar,IN,12.25,75.1,79.02,82,100,9.08,overcast clouds
140,Cabo San Lucas,MX,22.8909,-109.9124,81.52,63,0,6.91,clear sky
141,Yining,CN,29.0361,114.5636,55.4,90,100,3.22,overcast clouds
142,Kahului,US,20.8947,-156.47,77.02,78,75,6.91,broken clouds
143,Vila Velha,BR,-20.3297,-40.2925,78.75,78,100,6.91,overcast clouds
144,Bambanglipuro,ID,-7.95,110.2833,77.36,88,100,9.17,light rain
145,Grindavik,IS,63.8424,-22.4338,45.07,70,40,12.66,scattered clouds
146,Waiouru,NZ,-39.4833,175.6667,26.04,82,4,5.55,clear sky
147,Chokurdakh,RU,70.6333,147.9167,22.73,95,98,13.4,light snow
148,Meulaboh,ID,4.1363,96.1285,77.02,86,100,1.63,moderate rain
149,Hithadhoo,MV,-0.6,73.0833,81.99,76,4,20.38,heavy intensity rain
150,Kijang,KR,35.2442,129.2139,64.13,75,100,3.65,light rain
151,Chuy,UY,-33.6971,-53.4616,61.2,86,100,12.68,heavy intensity rain
152,Houma,US,29.5958,-90.7195,68.0,93,0,0.0,clear sky
153,Lewistown,US,40.5992,-77.5714,60.35,69,7,2.68,clear sky
154,Isiolo,KE,0.3546,37.5822,86.29,32,100,17.09,overcast clouds
155,Aswan,EG,24.0934,32.907,105.1,11,0,5.75,clear sky
156,Kamaishi,JP,39.2667,141.8833,49.59,81,6,5.17,clear sky
157,Samarai,PG,-10.6167,150.6667,80.74,84,64,10.42,broken clouds
158,Kyabe,TD,9.4515,18.9449,85.73,65,41,4.16,light rain
159,Prince Rupert,CA,54.3161,-130.3201,51.49,100,20,3.44,mist
160,Jammalamadugu,IN,14.8333,78.4,74.88,90,100,6.02,light rain
161,Khatanga,RU,71.9667,102.5,14.27,95,100,10.76,overcast clouds
162,Bandarbeyla,SO,9.4942,50.8122,80.29,73,97,25.95,overcast clouds
163,Rio Grande,BR,-32.035,-52.0986,66.31,97,100,15.95,moderate rain
164,Nemuro,JP,43.3236,145.575,50.38,71,80,14.5,broken clouds
165,Hovd,MN,48.0056,91.6419,46.31,27,100,3.89,overcast clouds
166,Bethel,US,41.3712,-73.414,60.49,88,0,4.61,clear sky
167,Ayan,RU,56.45,138.1667,35.69,59,100,12.1,overcast clouds
168,Saint-Joseph,RE,-21.3667,55.6167,73.78,78,33,9.78,scattered clouds
169,Stralsund,DE,54.3091,13.0818,66.02,57,1,21.14,clear sky
170,Nikolskoye,RU,59.7035,30.7861,55.29,81,100,13.4,overcast clouds
171,Kodiak,US,57.79,-152.4072,51.31,93,100,6.91,overcast clouds
172,Tabat,ID,-2.635,115.2274,75.97,89,100,1.05,overcast clouds
173,Sibu,MY,2.3,111.8167,77.31,100,40,0.0,scattered clouds
174,Zalesovo,RU,53.9939,84.7431,42.42,64,100,4.43,overcast clouds
175,East London,ZA,-33.0153,27.9116,68.94,64,20,18.41,few clouds
176,Belmonte,BR,-15.8631,-38.8828,79.09,71,100,5.14,overcast clouds
177,Eidsvag,NO,62.7767,8.0668,52.45,67,100,6.53,light rain
178,Ust-Tsilma,RU,65.441,52.1498,42.67,93,100,4.25,overcast clouds
179,Thompson,CA,55.7435,-97.8558,28.56,69,100,3.44,overcast clouds
180,Camajuani,CU,22.4833,-79.75,77.14,83,40,2.3,scattered clouds
181,San Cristobal,VE,7.7669,-72.225,69.98,86,100,2.77,overcast clouds
182,Tuatapere,NZ,-46.1333,167.6833,39.16,77,68,5.01,broken clouds
183,Guiratinga,BR,-16.3494,-53.7583,88.21,44,9,7.94,clear sky
184,Suhbaatar,MN,50.2314,106.2078,33.69,59,73,4.09,broken clouds
185,Ginda,IN,30.6945,78.4932,60.13,96,9,0.67,clear sky
186,Chhuikhadan,IN,21.5333,80.9833,77.09,85,99,9.13,heavy intensity rain
187,Moroni,KM,-11.7022,43.2551,76.87,76,89,4.32,overcast clouds
188,Chapais,CA,49.7834,-74.8492,46.18,90,100,6.91,overcast clouds
189,Santa Cruz,BO,-17.8,-63.1667,82.45,69,75,12.66,broken clouds
190,Verkhnyaya Inta,RU,65.9811,60.3094,41.38,89,100,4.72,overcast clouds
191,Kalabo,ZM,-14.97,22.6814,102.22,7,16,4.0,few clouds
192,Geraldton,AU,-28.7667,114.6,50.41,76,0,4.61,clear sky
193,Jutai,BR,-5.1833,-68.9,84.11,68,70,2.06,broken clouds
194,The Valley,AI,18.217,-63.0578,86.83,74,40,14.97,scattered clouds
195,Mount Darwin,ZW,-16.7725,31.5838,92.89,12,0,12.08,clear sky
196,Hokitika,NZ,-42.7167,170.9667,38.98,69,7,7.52,clear sky
197,Batagay,RU,67.6333,134.6333,13.32,97,98,3.33,overcast clouds
198,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,79,83,10.04,broken clouds
199,Saldanha,ZA,-33.0117,17.9442,63.59,66,6,13.13,clear sky
200,Saskylakh,RU,71.9167,114.0833,13.82,91,100,10.22,overcast clouds
201,Salinopolis,BR,-0.6136,-47.3561,84.52,66,94,15.73,overcast clouds
202,Lumberton,US,34.6182,-79.0086,67.35,82,0,0.0,clear sky
203,General Pico,AR,-35.6566,-63.7568,64.6,52,77,9.31,broken clouds
204,Laibin,CN,23.7,109.2667,83.73,60,98,3.44,overcast clouds
205,Asadabad,IR,34.7824,48.1185,82.35,10,0,1.32,clear sky
206,Ostrowiec Swietokrzyski,PL,50.9294,21.3853,67.08,56,74,12.93,broken clouds
207,Ajdabiya,LY,30.7554,20.2263,81.68,36,0,11.74,clear sky
208,Mahebourg,MU,-20.4081,57.7,74.25,73,40,12.66,scattered clouds
209,Iqaluit,CA,63.7506,-68.5145,26.33,79,100,13.8,overcast clouds
210,Chumikan,RU,54.7183,135.315,35.01,56,23,20.09,few clouds
211,Broken Hill,AU,-31.95,141.4333,70.99,36,97,2.84,overcast clouds
212,Tevaitoa,PF,-16.7833,-151.5,77.65,75,0,26.22,clear sky
213,New Haven,US,41.4001,-72.9329,61.09,89,75,4.61,broken clouds
